name,artist,id,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Smoke My Herbz,Sizzla,6Bpq3eILwWDjK4nK9qtwPv,19,reggae,0.859,0.521,0,-11.357,0,0.268,0.0974,0.0,0.0709,0.838,89.97,audio_features,spotify:track:6Bpq3eILwWDjK4nK9qtwPv,https://api.spotify.com/v1/tracks/6Bpq3eILwWDjK4nK9qtwPv,https://api.spotify.com/v1/audio-analysis/6Bpq3eILwWDjK4nK9qtwPv,218415,4
Beautiful Lady,Gyptian,2ZWnbl9QQELai4oaHGAzsM,0,reggae,0.518,0.652,1,-5.208,1,0.0461,0.499,0.0,0.134,0.728,82.483,audio_features,spotify:track:2ZWnbl9QQELai4oaHGAzsM,https://api.spotify.com/v1/tracks/2ZWnbl9QQELai4oaHGAzsM,https://api.spotify.com/v1/audio-analysis/2ZWnbl9QQELai4oaHGAzsM,204413,4
Dream Land,Bunny Wailer,1haHZa75ytryLGUOtHiGl5,0,reggae,0.766,0.49,6,-13.04,1,0.3,0.359,0.0085,0.046,0.959,72.846,audio_features,spotify:track:1haHZa75ytryLGUOtHiGl5,https://api.spotify.com/v1/tracks/1haHZa75ytryLGUOtHiGl5,https://api.spotify.com/v1/audio-analysis/1haHZa75ytryLGUOtHiGl5,165893,4
Love I Can Feel,Dennis Brown,6LRgZpzCs2Sp3SEHIp2XzY,0,reggae,0.759,0.686,2,-4.545,0,0.0315,0.0415,0.0,0.0808,0.891,80.014,audio_features,spotify:track:6LRgZpzCs2Sp3SEHIp2XzY,https://api.spotify.com/v1/tracks/6LRgZpzCs2Sp3SEHIp2XzY,https://api.spotify.com/v1/audio-analysis/6LRgZpzCs2Sp3SEHIp2XzY,222867,4
Rub-a-Dub Soldier,Ky-Mani Marley,2FnRnJBbGC8FmtVZqdl4kg,0,reggae,0.529,0.653,3,-7.385,0,0.359,0.332,0.0,0.156,0.562,154.108,audio_features,spotify:track:2FnRnJBbGC8FmtVZqdl4kg,https://api.spotify.com/v1/tracks/2FnRnJBbGC8FmtVZqdl4kg,https://api.spotify.com/v1/audio-analysis/2FnRnJBbGC8FmtVZqdl4kg,195584,4
Bandelero,Pinchers,0j2hYbbYeadrfJgII5bhea,0,reggae,0.715,0.35,11,-13.846,1,0.121,0.0469,0.0,0.0724,0.752,81.682,audio_features,spotify:track:0j2hYbbYeadrfJgII5bhea,https://api.spotify.com/v1/tracks/0j2hYbbYeadrfJgII5bhea,https://api.spotify.com/v1/audio-analysis/0j2hYbbYeadrfJgII5bhea,213360,4
"Mount Zion Medley (ft. Capleton, Jah Cure, LMS, Ras Shiloh, Bushman)",Morgan Heritage,1NaBa0dIa7Nb031z5dMPDD,0,reggae,0.622,0.467,10,-11.454,0,0.295,0.121,0.0,0.153,0.778,137.722,audio_features,spotify:track:1NaBa0dIa7Nb031z5dMPDD,https://api.spotify.com/v1/tracks/1NaBa0dIa7Nb031z5dMPDD,https://api.spotify.com/v1/audio-analysis/1NaBa0dIa7Nb031z5dMPDD,357027,4
Declaration Of Rights - Remastered 2000,Johnny Clarke,2p6WDr28CJXYNglfrneMLL,38,reggae,0.766,0.427,4,-10.959,0,0.336,0.731,0.000572,0.184,0.823,74.063,audio_features,spotify:track:2p6WDr28CJXYNglfrneMLL,https://api.spotify.com/v1/tracks/2p6WDr28CJXYNglfrneMLL,https://api.spotify.com/v1/audio-analysis/2p6WDr28CJXYNglfrneMLL,206200,4
Nuff Gal - Raw,Demarco,2xl3jVTWcAV0XNFT5gd1uG,0,reggae,0.556,0.925,0,-4.545,0,0.394,0.153,0.0,0.0804,0.826,200.042,audio_features,spotify:track:2xl3jVTWcAV0XNFT5gd1uG,https://api.spotify.com/v1/tracks/2xl3jVTWcAV0XNFT5gd1uG,https://api.spotify.com/v1/audio-analysis/2xl3jVTWcAV0XNFT5gd1uG,186933,4
"Ready, Aim, Fire",Pablo Moses,2Rpx7Bc6S9zzcghYlI7ZR9,36,reggae,0.804,0.531,1,-6.467,1,0.0926,0.0241,0.13,0.361,0.768,141.263,audio_features,spotify:track:2Rpx7Bc6S9zzcghYlI7ZR9,https://api.spotify.com/v1/tracks/2Rpx7Bc6S9zzcghYlI7ZR9,https://api.spotify.com/v1/audio-analysis/2Rpx7Bc6S9zzcghYlI7ZR9,272093,4
